id,geo_name,est_median_rent,moe_median_rent
8600000US01257,ZCTA5_01257,913.00,372.00
8600000US01258,ZCTA5_01258,775.00,477.00
8600000US01259,ZCTA5_01259,883.00,72.00
8600000US01260,ZCTA5_01260,,
8600000US01262,ZCTA5_01262,720.00,68.00
8600000US01264,ZCTA5_01264,,
8600000US01266,ZCTA5_01266,1303.00,134.00
8600000US01267,ZCTA5_01267,873.00,98.00
8600000US01270,ZCTA5_01270,,
8600000US01301,ZCTA5_01301,788.00,43.00
8600000US01330,ZCTA5_01330,676.00,137.00
8600000US01331,ZCTA5_01331,640.00,202.00
8600000US01337,ZCTA5_01337,776.00,145.00
8600000US01338,ZCTA5_01338,,
8600000US01339,ZCTA5_01339,689.00,169.00
8600000US01340,ZCTA5_01340,723.00,173.00
8600000US01341,ZCTA5_01341,970.00,143.00
8600000US01342,ZCTA5_01342,1363.00,1096.00
8600000US01343,ZCTA5_01343,,
8600000US01344,ZCTA5_01344,690.00,112.00
8600000US01346,ZCTA5_01346,,
8600000US01347,ZCTA5_01347,,
8600000US01349,ZCTA5_01349,730.00,215.00
8600000US01350,ZCTA5_01350,738.00,73.00
8600000US01351,ZCTA5_01351,1004.00,358.00
8600000US01354,ZCTA5_01354,,
8600000US01355,ZCTA5_01355,696.00,345.00
8600000US01360,ZCTA5_01360,727.00,181.00
8600000US01364,ZCTA5_01364,724.00,87.00
8600000US01366,ZCTA5_01366,920.00,173.00
8600000US01367,ZCTA5_01367,950.00,454.00
8600000US01368,ZCTA5_01368,675.00,199.00
8600000US01370,ZCTA5_01370,771.00,29.00
8600000US01373,ZCTA5_01373,850.00,323.00
8600000US01375,ZCTA5_01375,1231.00,203.00
8600000US01376,ZCTA5_01376,783.00,48.00
8600000US01378,ZCTA5_01378,1016.00,834.00
8600000US01379,ZCTA5_01379,964.00,553.00
8600000US01420,ZCTA5_01420,789.00,41.00
8600000US01430,ZCTA5_01430,1544.00,698.00
8600000US01431,ZCTA5_01431,867.00,468.00
8600000US01432,ZCTA5_01432,1042.00,116.00
8600000US01434,ZCTA5_01434,,
8600000US01436,ZCTA5_01436,637.00,123.00
8600000US01438,ZCTA5_01438,,
8600000US01440,ZCTA5_01440,769.00,34.00
8600000US01450,ZCTA5_01450,1285.00,481.00
8600000US01451,ZCTA5_01451,1184.00,204.00
8600000US01452,ZCTA5_01452,867.00,378.00
